Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","t","76582.55"
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","An","532738"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2023","2023","t","71330.38"
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","2023","2023","An","492797"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2022","2022","t","28503.14"
"QCL","Crops and livestock products","004","Afghanistan","5321","Producing Animals/Slaughtered","21121","Meat of chickens, fresh or chilled","2022","2022","1000 An","33792"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2023","2023","t","28796.08"
"QCL","Crops and livestock products","004","Afghanistan","5321","Producing Animals/Slaughtered","21121","Meat of chickens, fresh or chilled","2023","2023","1000 An","34270"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21116","Meat of goat, fresh or chilled","2022","2022","t","47071.74"
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","21116","Meat of goat, fresh or chilled","2022","2022","An","3619703"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21116","Meat of goat, fresh or chilled","2023","2023","t","47372.76"
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","21116","Meat of goat, fresh or chilled","2023","2023","An","3642792"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21115","Meat of sheep, fresh or chilled","2022","2022","t","102000"
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","21115","Meat of sheep, fresh or chilled","2022","2022","An","6700000"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21115","Meat of sheep, fresh or chilled","2023","2023","t","100792.87"
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","21115","Meat of sheep, fresh or chilled","2023","2023","An","6461548"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02954","Raw hides and skins of goats or kids","2022","2022","t","7108.79"
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","02954","Raw hides and skins of goats or kids","2022","2022","An","3619703"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02954","Raw hides and skins of goats or kids","2023","2023","t","7154.25"
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","02954","Raw hides and skins of goats or kids","2023","2023","An","3642792"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02953","Raw hides and skins of sheep or lambs","2022","2022","t","16150"
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","02953","Raw hides and skins of sheep or lambs","2022","2022","An","6700000"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02953","Raw hides and skins of sheep or lambs","2023","2023","t","15958.87"
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","02953","Raw hides and skins of sheep or lambs","2023","2023","An","6461548"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","2022","2022","t","1920567.03"
"QCL","Crops and livestock products","004","Afghanistan","5318","Milk Animals","02211","Raw milk of cattle","2022","2022","An","3648399"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","2023","2023","t","1950896.67"
"QCL","Crops and livestock products","004","Afghanistan","5318","Milk Animals","02211","Raw milk of cattle","2023","2023","An","3709761"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02292","Raw milk of goats","2022","2022","t","117931.67"
"QCL","Crops and livestock products","004","Afghanistan","5318","Milk Animals","02292","Raw milk of goats","2022","2022","An","2736264"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02292","Raw milk of goats","2023","2023","t","118813.98"
"QCL","Crops and livestock products","004","Afghanistan","5318","Milk Animals","02292","Raw milk of goats","2023","2023","An","2762535"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02291","Raw milk of sheep","2022","2022","t","193990.39"
"QCL","Crops and livestock products","004","Afghanistan","5318","Milk Animals","02291","Raw milk of sheep","2022","2022","An","6532504"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02291","Raw milk of sheep","2023","2023","t","191422.48"
"QCL","Crops and livestock products","004","Afghanistan","5318","Milk Animals","02291","Raw milk of sheep","2023","2023","An","6414472"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","22110.02","Skim milk of cows","2022","2022","t","731659.81"
"QCL","Crops and livestock products","008","Albania","5320","Producing Animals/Slaughtered","21118.01","Horse meat, fresh or chilled","2022","2022","An","0"
"QCL","Crops and livestock products","008","Albania","5320","Producing Animals/Slaughtered","21118.01","Horse meat, fresh or chilled","2023","2023","An","0"
"QCL","Crops and livestock products","008","Albania","5320","Producing Animals/Slaughtered","21112","Meat of buffalo, fresh or chilled","2022","2022","An","0"
"QCL","Crops and livestock products","008","Albania","5320","Producing Animals/Slaughtered","21112","Meat of buffalo, fresh or chilled","2023","2023","An","0"
"QCL","Crops and livestock products","008","Albania","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","t","29736.3"
